sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
10,,Default,simple,"Default Category,Default Category/Karty",base,"Kraina lodu - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"kraina lodu - gra piotruś","Kraina lodu - gra Piotruś","Kraina lodu - gra Piotruś","Kraina lodu - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808448_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808448_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808448_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808448_small.jpg,,,,,,,,,,,,
11,,Default,simple,"Default Category,Default Category/Karty",base,"Jej Wysokość Zosia - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"jej wysokość zosia - gra piotruś","Jej Wysokość Zosia - gra Piotruś","Jej Wysokość Zosia - gra Piotruś","Jej Wysokość Zosia - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808452_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808452_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808452_096_01_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808452_096_01_small.jpg,,,,,,,,,,,,
12,,Default,simple,"Default Category,Default Category/Karty",base,"Dinozaury - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"dinozaury - gra piotruś","Dinozaury - gra Piotruś","Dinozaury - gra Piotruś","Dinozaury - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808454_1_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808454_1_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808454_1_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808454_1_small.jpg,,,,,,,,,,,,
13,,Default,simple,"Default Category,Default Category/Karty",base,"Winx - gra piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"winx - gra piotruś","Winx - gra piotruś","Winx - gra piotruś","Winx - gra piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a8760609096_08457_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a8760609096_08457_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a8760609096_08457_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a8760609096_08457_small.jpg,,,,,,,,,,,,
14,,Default,simple,"Default Category,Default Category/Karty",base,"Fisher Price - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"fisher price - gra piotruś","Fisher Price - gra Piotruś","Fisher Price - gra Piotruś","Fisher Price - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808462_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808462_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808462_096_01_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808462_096_01_small.jpg,,,,,,,,,,,,
15,,Default,simple,"Default Category,Default Category/Karty",base,"Avengers - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"avengers - gra piotruś","Avengers - gra Piotruś","Avengers - gra Piotruś","Avengers - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808463_300_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808463_300_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808463_300_01_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808463_300_01_small.jpg,,,,,,,,,,,,
16,,Default,simple,"Default Category,Default Category/Karty",base,"Dobry dinozaur -  gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"dobry dinozaur -  gra piotruś","Dobry dinozaur -  gra Piotruś","Dobry dinozaur -  gra Piotruś","Dobry dinozaur -  gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808467_096_01_1_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808467_096_01_1_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808467_096_01_1_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808467_096_01_1_small.jpg,,,,,,,,,,,,
17,,Default,simple,"Default Category,Default Category/Karty",base,"Zootopia - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"zootopia - gra piotruś","Zootopia - gra Piotruś","Zootopia - gra Piotruś","Zootopia - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808470_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808470_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808470_096_01_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808470_096_01_small.jpg,,,,,,,,,,,,
18,,Default,simple,"Default Category,Default Category/Karty",base,"Gdzie jest Dory? - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"gdzie jest dory? - gra piotruś","Gdzie jest Dory? - gra Piotruś","Gdzie jest Dory? - gra Piotruś","Gdzie jest Dory? - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808471_box_3d_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808471_box_3d_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808471_box_3d_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808471_box_3d_small.jpg,,,,,,,,,,,,
19,,Default,simple,"Default Category,Default Category/Karty",base,"Tomek i przyjaciele - gra Piotruś","1x25 listków","1x25 listków",,1,"Taxable Goods","Catalog, Search",4.2900,,,,"tomek i przyjaciele - gra piotruś","Tomek i przyjaciele - gra Piotruś","Tomek i przyjaciele - gra Piotruś","Tomek i przyjaciele - gra Piotruś",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808473_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808473_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808473_096_01_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876060808473_096_01_small.jpg,,,,,,,,,,,,
20,,Default,simple,"Default Category,Default Category/Zabawki",base,"Płyn MESSI FootBubbles","Wiek: 6+","Wiek: 6+",,1,"Taxable Goods","Catalog, Search",15.9900,7.9900,,,"płyn messi footbubbles","Płyn MESSI FootBubbles","Płyn MESSI FootBubbles","Płyn MESSI FootBubbles",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876066060501_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876066060501_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876066060501_096_01_small.jpg,,,,"10/26/18, 9:03 PM","10/26/18, 9:03 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876066060501_096_01_small.jpg,,,,,,,,,,,,
21,,Default,simple,"Default Category,Default Category/Puzzle",base,"Wrotki moja miłość","160 elementów","160 elementów",,1,"Taxable Goods","Catalog, Search",13.9900,7.9900,,,"wrotki moja miłość","Wrotki moja miłość","Wrotki moja miłość","Wrotki moja miłość",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876061515329_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876061515329_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876061515329_096_01_small.jpg,,,,"10/26/18, 9:03 PM","10/27/18, 12:34 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876061515329_096_01_small.jpg,,,,,,,,,,,,
22,,Default,simple,"Default Category,Default Category/Puzzle",base,"Luna kolaż","100 elementów","100 elementów",,1,"Taxable Goods","Catalog, Search",13.9900,7.9900,,,"luna kolaż","Luna kolaż","Luna kolaż","Luna kolaż",/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876061616299_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876061616299_096_01_small.jpg,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876061616299_096_01_small.jpg,,,,"10/26/18, 9:03 PM","10/27/18, 12:34 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,3.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/t/httpssklep.trefl.commediacatalogproductcache4small_image150x150c96a280f94e22e3ee3823dd0a1a876061616299_096_01_small.jpg,,,,,,,,,,,,
